msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0800	0	False	Spot_0	unknown	unknown	8	7.105000019	59.87499833	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0800', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0801	0	True	Spot_0	SV	unknown	8	5.076000094	34.50400114	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0801', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0802	0	True	Spot_0	CSW	unknown	8	4.0609999	37.54899859	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0802', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0803	0	True	Spot_0	SV	unknown	8	5.076000094	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0803', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0804	0	True	Spot_0	QC MIX22	unknown	8	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0804', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0805	0	True	Spot_0	WB	unknown	8	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0805', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0806	0	True	Spot_0	ULW CAT	unknown	8	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0806', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0807	0	True	Spot_0	ULW CAT	unknown	8	7.105000019	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0807', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0808	0	True	Spot_0	ULW CAT	unknown	8	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0808', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0809	0	True	Spot_0	SV	unknown	8	10.15000016	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0809', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0810	0	True	Spot_0	SML CAT	unknown	8	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0810', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0811	0	True	Spot_0	SML CAT	unknown	8	10.15000016	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0811', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0812	0	True	Spot_0	SML CAT	unknown	8	10.15000016	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0812', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0900	0	False	Spot_0	unknown	unknown	9	3.045999929	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0900', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0901	0	True	Spot_0	SV	unknown	9	5.076000094	36.53400064	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0901', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0902	0	True	Spot_0	CSW	unknown	9	4.0609999	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0902', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0903	0	True	Spot_0	SV	unknown	9	6.089999825	39.57800031	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0903', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0904	0	True	Spot_0	QC MIX22	unknown	9	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0904', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0905	0	True	Spot_0	WB	unknown	9	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0905', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0906	0	True	Spot_0	ULW CAT	unknown	9	6.090999842	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0906', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0907	0	True	Spot_0	ULW CAT	unknown	9	7.105000019	40.59500098	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0907', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0908	0	True	Spot_0	ULW CAT	unknown	9	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0908', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0909	0	True	Spot_0	SV	unknown	9	10.15000016	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0909', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
